kHz:75;Time(UTC):93;Days:59;ITU:49;Station:201;Lng:49;Target:62;Remarks:135;P:35;Start:60;Stop:60;
0490;0000-2400;;Wld;NAVTEX;;Wld;;1;;
0518;0000-2400;;Wld;NAVTEX;;Wld;;1;;
0530;0000-2400;;USA;NA AM TIS Bcast;;USA;;1;;
0540;0000-2400;;USA;NA AM Bcast;;USA;;1;;
0550;0000-2400;;USA;NA AM Bcast;;USA;;1;;
0560;0000-2400;;USA;NA AM Bcast;;USA;;1;;
0570;0000-2400;;USA;NA AM Bcast;;USA;;1;;
0580;0000-2400;;USA;NA AM Bcast;;USA;;1;;
0590;0000-2400;;USA;NA AM Bcast;;USA;;1;;
0600;0000-2400;;USA;NA AM Bcast;;USA;;1;;
0610;0000-2400;;USA;NA AM Bcast;;USA;;1;;
0620;0000-2400;;USA;NA AM Bcast;;USA;;1;;
0630;0000-2400;;USA;NA AM Bcast;;USA;;1;;
0640;0000-2400;;USA;NA AM Bcast;;USA;;1;;
0650;0000-2400;;USA;NA AM Bcast;;USA;;1;;
0660;0000-2400;;USA;NA AM Bcast;;USA;;1;;
0670;0000-2400;;USA;NA AM Bcast;;USA;;1;;
0680;0000-2400;;USA;NA AM Bcast;;USA;;1;;
0690;0000-2400;;USA;NA AM Bcast;;USA;;1;;
0700;0000-2400;;USA;NA AM Bcast;;USA;;1;;
0710;0000-2400;;USA;NA AM Bcast;;USA;;1;;
0720;0000-2400;;USA;NA AM Bcast;;USA;;1;;
0730;0000-2400;;USA;NA AM Bcast;;USA;;1;;
0740;0000-2400;;USA;NA AM Bcast;;USA;;1;;
0750;0000-2400;;USA;NA AM Bcast;;USA;;1;;
0760;0000-2400;;USA;NA AM Bcast;;USA;;1;;
0770;0000-2400;;USA;NA AM Bcast;;USA;;1;;
0780;0000-2400;;USA;NA AM Bcast;;USA;;1;;
0790;0000-2400;;USA;NA AM Bcast;;USA;;1;;
0800;0000-2400;;USA;NA AM Bcast;;USA;;1;;
0810;0000-2400;;USA;NA AM Bcast;;USA;;1;;
0820;0000-2400;;USA;NA AM Bcast;;USA;;1;;
0830;0000-2400;;USA;NA AM Bcast;;USA;;1;;
0840;0000-2400;;USA;NA AM Bcast;;USA;;1;;
0850;0000-2400;;USA;NA AM Bcast;;USA;;1;;
0860;0000-2400;;USA;NA AM Bcast;;USA;;1;;
0870;0000-2400;;USA;NA AM Bcast;;USA;;1;;
0880;0000-2400;;USA;NA AM Bcast;;USA;;1;;
0890;0000-2400;;USA;NA AM Bcast;;USA;;1;;
0900;0000-2400;;USA;NA AM Bcast;;USA;;1;;
0910;0000-2400;;USA;NA AM Bcast;;USA;;1;;
0920;0000-2400;;USA;NA AM Bcast;;USA;;1;;
0930;0000-2400;;USA;NA AM Bcast;;USA;;1;;
0940;0000-2400;;USA;NA AM Bcast;;USA;;1;;
0950;0000-2400;;USA;NA AM Bcast;;USA;;1;;
0960;0000-2400;;USA;NA AM Bcast;;USA;;1;;
0970;0000-2400;;USA;NA AM Bcast;;USA;;1;;
0980;0000-2400;;USA;NA AM Bcast;;USA;;1;;
0990;0000-2400;;USA;NA AM Bcast;;USA;;1;;
1000;0000-2400;;USA;NA AM Bcast;;USA;;1;;
1010;0000-2400;;USA;NA AM Bcast;;USA;;1;;
1020;0000-2400;;USA;NA AM Bcast;;USA;;1;;
1030;0000-2400;;USA;NA AM Bcast;;USA;;1;;
1040;0000-2400;;USA;NA AM Bcast;;USA;;1;;
1050;0000-2400;;USA;NA AM Bcast;;USA;;1;;
1060;0000-2400;;USA;NA AM Bcast;;USA;;1;;
1070;0000-2400;;USA;NA AM Bcast;;USA;;1;;
1080;0000-2400;;USA;NA AM Bcast;;USA;;1;;
1090;0000-2400;;USA;NA AM Bcast;;USA;;1;;
1100;0000-2400;;USA;NA AM Bcast;;USA;;1;;
1110;0000-2400;;USA;NA AM Bcast;;USA;;1;;
1120;0000-2400;;USA;NA AM Bcast;;USA;;1;;
1130;0000-2400;;USA;NA AM Bcast;;USA;;1;;
1140;0000-2400;;USA;NA AM Bcast;;USA;;1;;
1150;0000-2400;;USA;NA AM Bcast;;USA;;1;;
1160;0000-2400;;USA;NA AM Bcast;;USA;;1;;
1170;0000-2400;;USA;NA AM Bcast;;USA;;1;;
1180;0000-2400;;USA;NA AM Bcast;;USA;;1;;
1190;0000-2400;;USA;NA AM Bcast;;USA;;1;;
1200;0000-2400;;USA;NA AM Bcast;;USA;;1;;
1210;0000-2400;;USA;NA AM Bcast;;USA;;1;;
1220;0000-2400;;USA;NA AM Bcast;;USA;;1;;
1230;0000-2400;;USA;NA AM Bcast;;USA;;1;;
1240;0000-2400;;USA;NA AM Bcast;;USA;;1;;
1250;0000-2400;;USA;NA AM Bcast;;USA;;1;;
1260;0000-2400;;USA;NA AM Bcast;;USA;;1;;
