kHz:75;Time(UTC):93;Days:59;ITU:49;Station:201;Lng:49;Target:62;Remarks:135;P:35;Start:60;Stop:60;
16.4;0000-2400;;NOR;JXN Marine Norway;;NEu;no;1;;
18.2;0000-2400;;IND;VTX Indian Navy;;SAs;v;1;;
18.3;0000-2400;;F;HWU French Navy;;WEu;wu;1;;
19.6;0000-2400;;G;GQD Anthorn;;WEu;an;1;;
19.8;0000-2400;;AUS;NWC US/Australian Navy;;Oc;ex;1;;
20.5;0741-0747;;BLR;RJH69 Molodechno;-TS;EEu;mo;1;;
20.5;0441-0447;;KGZ;RJH66 Bishkek;-TS;CAs;bk;1;;
20.5;1041-1047;;KGZ;RJH66 Bishkek;-TS;CAs;bk;1;;
20.5;1131-1141;;RUS;RJH63 Krasnodar;-TS;EEu;kd;1;;
20.5;0941-0947;;RUS;RJH77 Arkhangelsk;-TS;EEu;ak;1;;
20.5;0541-0547;;RUS;RJH99 Nizhni Novgorod;-TS;EEu;nn;1;;
20.9;0000-2400;;F;HWU French Navy;;WEu;wu;1;;
21.4;0000-2400;;HWA;NPM US Navy;;Oc;L;1;;
21.7;0000-2400;;F;HWU French Navy;;WEu;wu;1;;
23;0735-0741;;BLR;RJH69 Molodechno;-TS;EEu;mo;1;;
23;0435-0441;;KGZ;RJH66 Bishkek;-TS;CAs;bk;1;;
23;1035-1041;;KGZ;RJH66 Bishkek;-TS;CAs;bk;1;;
23;1126-1131;;RUS;RJH63 Krasnodar;-TS;EEu;kd;1;;
23;0935-0941;;RUS;RJH77 Arkhangelsk;-TS;EEu;ak;1;;
23;0535-0541;;RUS;RJH99 Nizhni Novgorod;-TS;EEu;nn;1;;
23.4;0000-2400;;D;DHO38 German Navy;;Eu;rf;1;;
23.4;0000-2400;;HWA;NPM US Navy;;Oc;L;1;;
24;0000-2400;;USA;NAA US Navy Cutler;;NAO;cu;1;;
24.8;0000-2400;;USA;NLK US Navy Jim Creek;;NAO;jc;1;;
25;0700-0725;;BLR;RJH69 Molodechno;-TS;EEu;mo;1;;
25;0400-0425;;KGZ;RJH66 Bishkek;-TS;CAs;bk;1;;
25;1000-1025;;KGZ;RJH66 Bishkek;-TS;CAs;bk;1;;
25;1100-1120;;RUS;RJH63 Krasnodar;-TS;EEu;kd;1;;
25;0900-0925;;RUS;RJH77 Arkhangelsk;-TS;EEu;ak;1;;
25;0500-0525;;RUS;RJH99 Nizhni Novgorod;-TS;EEu;nn;1;;
25;0725-0730;;BLR;RJH69 Molodechno;-TS;EEu;mo;1;;
25;0425-0430;;KGZ;RJH66 Bishkek;-TS;CAs;bk;1;;
25;1025-1030;;KGZ;RJH66 Bishkek;-TS;CAs;bk;1;;
25;1120-1123;;RUS;RJH63 Krasnodar;-TS;EEu;kd;1;;
25;0925-0930;;RUS;RJH77 Arkhangelsk;-TS;EEu;ak;1;;
25;0525-0530;;RUS;RJH99 Nizhni Novgorod;-TS;EEu;nn;1;;
25.2;0000-2400;;USA;NML US Navy;;NAm;lm;1;;
25.5;0730-0735;;BLR;RJH69 Molodechno;-TS;EEu;mo;1;;
25.5;0430-0435;;KGZ;RJH66 Bishkek;-TS;CAs;bk;1;;
25.5;1030-1035;;KGZ;RJH66 Bishkek;-TS;CAs;bk;1;;
25.5;1123-1126;;RUS;RJH63 Krasnodar;-TS;EEu;kd;1;;
25.5;0930-0935;;RUS;RJH77 Arkhangelsk;-TS;EEu;ak;1;;
25.5;0530-0535;;RUS;RJH99 Nizhni Novgorod;-TS;EEu;nn;1;;
37.5;0000-2400;;ISL;TFK Grindavik;;NEu;g;1;;
40;0000-2400;;J;JJY (ID x15,x45);-TS;FE;o;1;;
45.9;0000-2400;;I;NSY Sicily;;SEu;sy;1;;
60;0000-2400;;G;MSF Time from NPL;-TS;Eu;an;1;;
60;0000-2400;;J;JJY (ID x15,x45);-TS;FE;h;1;;
60;0000-2400;;USA;WWVB Colorado;-TS;USA;ff;1;;
66.66;0000-2400;;RUS;RBU Time Signal;-TS;EEu;t;1;;
68.5;0000-2400;;CHN;BPC Time Signal;-TS;FE;sq;1;;
77.5;0000-2400;;D;DCF77 Mainflingen;-TS;Eu;mf;1;;
129;0000-2400;;D;EFR Teleswitch;;CEu;mf;1;;
135.6;0000-2400;;HNG;EFR Teleswitch;;CEu;lh;1;;
139;0000-2400;;D;EFR Teleswitch;;CEu;bu;1;;
145;0000-2400;irr;E;Spanish Navy FSK;;Eu;gm;1;;
147.3;0000-2400;;D;DWD 2 Pinneberg RTTY;E;Eu;pi;1;;
171;0000-2400;;MRC;Medi 1;A,F;NAf;n;1;;
225;1640-1655;;CVA;Radio Vaticana;PO;Eu;/POL-sk;2;;
225;1655-1640;;POL;Polskie Radio 1;PO;Eu;sk;2;;
243;0342-0405;;DNK;Danmarks Radio;DA;NEu;k;2;;
243;0557-0705;;DNK;Danmarks Radio;DA;NEu;k;2;;
243;0942-1015;;DNK;Danmarks Radio;DA;NEu;k;2;;
243;1542-1620;;DNK;Danmarks Radio;DA;NEu;k;2;;
426;1700-2300;Sa;USA;KPH Point Reyes, CA;-CW;WNA;pr;2;;
445;0000-2400;;CHN;XSQ Guangzhou Radio x30;M;FE;gx;1;;
462;0000-2400;;CHN;XSZ Dalian Radio (x05);M;FE;da;1;;
500;1700-2300;Sa;USA;KPH Point Reyes, CA;-CW;WNA;pr;2;;
522.5;0030-0040;;CHN;XSG Shanghai Radio;M;FE;sh;1;;
522.5;0230-0240;;CHN;XSG Shanghai Radio;M;FE;sh;1;;
522.5;0430-0440;;CHN;XSG Shanghai Radio;M;FE;sh;1;;
522.5;0630-0640;;CHN;XSG Shanghai Radio;M;FE;sh;1;;
522.5;0830-0840;;CHN;XSG Shanghai Radio;M;FE;sh;1;;
522.5;1030-1040;;CHN;XSG Shanghai Radio;M;FE;sh;1;;
522.5;1230-1240;;CHN;XSG Shanghai Radio;M;FE;sh;1;;
522.5;1430-1440;;CHN;XSG Shanghai Radio;M;FE;sh;1;;
522.5;1630-1640;;CHN;XSG Shanghai Radio;M;FE;sh;1;;
522.5;1830-1840;;CHN;XSG Shanghai Radio;M;FE;sh;1;;
522.5;2030-2040;;CHN;XSG Shanghai Radio;M;FE;sh;1;;
522.5;2230-2240;;CHN;XSG Shanghai Radio;M;FE;sh;1;;
567;0630-0700;;LAO;Lao National Radio;HM;SEA;v;1;;
567;0700-0730;;LAO;Lao National Radio;KHM;SEA;v;1;;
567;0855-1330;;LAO;Lao National Radio;LAO;SEA;v;1;;
567;1330-1400;;LAO;Lao National Radio;KH;SEA;v;1;;
567;1400-1431;;LAO;Lao National Radio;M;SEA;v;1;;
567;1431-1501;;LAO;Lao National Radio;E;SEA;v;1;;
567;1501-1530;;LAO;Lao National Radio;F;SEA;v;1;;
567;1530-1600;;LAO;Lao National Radio;T;SEA;v;1;;
567;1600-1630;;LAO;Lao National Radio;VN;SEA;v;1;;
567;2100-2200;;LAO;Lao National Radio;M;SEA;v;1;;
567;2200-2230;;LAO;Lao National Radio;HM;SEA;v;1;;
567;2230-2300;;LAO;Lao National Radio;KHM;SEA;v;1;;
567;2300-0630;;LAO;Lao National Radio;LAO;SEA;v;1;;
576;0000-2400;;BUL;BNR Horizont;BU;BUL;vi;1;;
576;0500-0600;Mo-Fr;BUL;Bulgarian National R.;TU;BUL;sl;2;;
576;1200-1300;;BUL;Bulgarian National R.;TU;BUL;sl;2;;
576;1730-1830;;BUL;Bulgarian National R.;TU;BUL;sl;2;;
576;0330-1630;;IRN;IRIB Voice of I.R.Iran;A;ME;mh;1;;
576;0230-0330;SaSu;MYA;Myanma Radio;BR;SEA;y;1;;
576;0330-0700;;MYA;Myanma Radio;BR;SEA;y;1;;
576;0700-0730;;MYA;Myanma Radio;E;SEA;y;1;;
576;0710-0725;SaSu;MYA;Myanma Radio (NHK);E;SEA;y;1;;
576;0930-1530;;MYA;Myanma Radio;BR;SEA;y;1;;
576;1445-1500;Mo-We;MYA;Myanma Radio (NHK);BR;SEA;y;1;;
576;1445-1505;SaSu;MYA;Myanma Radio (NHK);BR;SEA;y;1;;
576;1530-1630;;MYA;Myanma Radio;E;SEA;y;1;;
576;1540-1600;Th-Fr;MYA;Myanma Radio (NHK);E;SEA;y;1;;
576;2300-0230;;MYA;Myanma Radio;BR;SEA;y;1;;
594;0230-0245;;IND;AIR Delhi;HI;BGD;ko;1;;
594;0245-0300;;IND;AIR Delhi;E;BGD;ko;1;;
594;0830-0845;;IND;AIR Delhi;E;BGD;ko;1;;
594;0845-0900;;IND;AIR Delhi;HI;BGD;ko;1;;
594;1512-1530;;IND;AIR Delhi;HI;BGD;ko;1;;
594;1530-1545;;IND;AIR Delhi;E;BGD;ko;1;;
594;1545-1600;;IND;AIR Delhi;E;BGD;ko;1;;
594;0030-0230;;IND;All India Radio GOS;BE;BGD;ko;1;;
594;0300-0830;;IND;All India Radio GOS;BE;BGD;ko;1;;
594;1000-1515;;IND;All India Radio GOS;BE;BGD;ko;1;;
594;1600-1730;;IND;All India Radio GOS;BE;BGD;ko;1;;[0318]
594;0230-0330;SaSu;MYA;Myanma Radio;BR;SEA;n;1;;
594;0930-1530;;MYA;Myanma Radio;BR;SEA;n;1;;
594;1445-1500;Mo-We;MYA;Myanma Radio (NHK);BR;SEA;n;1;;
594;1445-1505;SaSu;MYA;Myanma Radio (NHK);BR;SEA;n;1;;
594;1530-1630;;MYA;Myanma Radio;E;SEA;n;1;;
594;1540-1600;Th-Fr;MYA;Myanma Radio (NHK);E;SEA;n;1;;
594;2300-0230;;MYA;Myanma Radio;BR;SEA;n;1;;
603;0400-0600;;CHN;China Radio Int.;VN;SEA;d;1;;
603;1100-1200;;CHN;China Radio Int.;CA;SEA;d;1;;
603;1500-1600;;CHN;China Radio Int.;VN;SEA;d;1;;
603;2300-0100;;CHN;China Radio Int.;VN;SEA;d;1;;
603;0130-0230;;IND;All India Radio DIGITAL;NE;NPL;ko;1;;
603;0700-0800;;IND;All India Radio DIGITAL;NE;NPL;ko;1;;
603;1000-1100;;IND;All India Radio DIGITAL;E;SEA;ko;1;;
603;1115-1215;;IND;All India Radio DIGITAL;TAM;SEA;ko;1;;
603;1215-1315;;IND;All India Radio DIGITAL;BR;SEA;ko;1;;
603;1330-1430;;IND;All India Radio DIGITAL;NE;NPL;ko;1;;
603;0720-0730;Su;ROU;Radio Bukarest;D;ROU;;2;;
603;1100-1200;Mo-Sa;ROU;Radio Bukarest;D;ROU;;2;;
610;2300-2330;Mo,Sa;EQA;HCJB Voice of Andes;D;SAm;/PRG-f;1;;
612;0420-0520;;IRN;IRIB Voice of I.R.Iran;KU;ME;q;1;;
612;0523-1630;;IRN;IRIB Voice of I.R.Iran;A;ME;q;1;;
612;0000-1200;;KGZ;Kyrgyz Radiosu;KG;CAs;b;1;;
612;1200-1800;Su;KGZ;Kyrgyz Radiosu;KG;CAs;b;1;;
621;0330-0730;;KRE;PBS Pyongyang Pansong;K;FE;c;6;2503;0405
621;1330-1830;;KRE;PBS Pyongyang Pansong;K;FE;c;6;2503;0405
621;1830-1900;;KRE;PBS Pyongyang Pansong;K;FE;c;6;2503;0405
621;1900-2030;;KRE;PBS Pyongyang Pansong;K;FE;c;6;2503;0405
621;0300-0700;;KRE;PBS Pyongyang Pansong;K;FE;c;1;0505;
621;1300-1800;;KRE;PBS Pyongyang Pansong;K;FE;c;1;0505;
621;1800-1830;;KRE;PBS Pyongyang Pansong;K;FE;c;1;0505;
621;1830-2000;;KRE;PBS Pyongyang Pansong;K;FE;c;1;0505;
621;1515-1520;1.Sa;KRE;V15 Spy Numbers;K;FE;c;6;2503;0405
621;1515-1520;3.Sa;KRE;V15 Spy Numbers;K;FE;c;6;2503;0405
621;1615-1620;2.Th;KRE;V15 Spy Numbers;K;FE;c;6;2503;0405
621;1615-1620;4.Th;KRE;V15 Spy Numbers;K;FE;c;6;2503;0405
621;0730-1330;;KRE;Voice of Korea;J;J;c;6;2503;0405
621;2130-0030;;KRE;Voice of Korea;J;J;c;6;2503;0405
621;0700-1300;;KRE;Voice of Korea;J;J;c;1;0505;
621;2100-2400;;KRE;Voice of Korea;J;J;c;1;0505;
621;0200-0230;;MDA;Radio Odin Plus (PMR);UK;EEu;;2;;
621;0230-0300;;MDA;Radio Odin Plus (PMR);RO;EEu;;2;;
621;0300-0515;;MDA;Radio Odin Plus (PMR);R;EEu;;2;;[1017]
621;0400-1300;;USA;Radio Mashaal;PS;PAK;/AFG-x;1;;
621;0100-0200;;USA;VoA Deewa Radio;PS;PAK;/AFG-x;1;;
621;0200-0300;;USA;VoA Deewa Radio;PS;PAK;/AFG-x;1;;
621;0300-0400;;USA;VoA Deewa Radio;PS;PAK;/AFG-x;1;;
621;1300-1500;;USA;VoA Deewa Radio;PS;PAK;/AFG-x;1;;
621;1500-1700;;USA;VoA Deewa Radio;PS;PAK;/AFG-x;1;;
621;1700-1900;;USA;VoA Deewa Radio;PS;PAK;/AFG-x;1;;
630;1000-1100;;ROU;Radio Temeswar;D;ROU;;2;;[0717]
630;1600-1700;;ROU;Radio Temeswar;D;ROU;;2;;
630;1500-1600;Su;ROU;Radio Timisoara;UK;ROU;;2;;[0216]
630;1700-1900;;TUR;Voice of Turkey;A;ME;m;1;;
639;1705-1710;Mo-Fr;CZE;Radio Prague;E;CEu;os;2;;
639;1705-1710;Mo-Fr;CZE;Radio Prague;E;CEu;pl;2;;
639;1805-1810;Mo-Fr;CZE;Radio Prague;E;CEu;os;2;;
639;1805-1810;Mo-Fr;CZE;Radio Prague;E;CEu;pl;2;;
639;0420-0520;;IRN;IRIB Voice of I.R.Iran;KU;ME;bb;1;;
639;1320-1620;;IRN;IRIB Voice of I.R.Iran;KU;ME;bb;1;;
639;1820-1920;;IRN;IRIB Voice of I.R.Iran;TU;ME;bb;1;;
639;0130-0200;;MYA;Thazin Radio;E;SEA;p;1;;
639;0430-0630;;MYA;Thazin Radio;BR;SEA;p;1;;
639;0630-0700;;MYA;Thazin Radio;E;SEA;p;1;;
639;0930-1430;;MYA;Thazin Radio;BR;SEA;p;1;;
639;1430-1500;;MYA;Thazin Radio;E;SEA;p;1;;
639;2330-0130;;MYA;Thazin Radio;BR;SEA;p;1;;
657;0835-0850;We,Sa;IND;FEBA India;BE;SAs;kc;1;;
657;0330-0730;;KRE;PBS Pyongyang Pansong;K;FE;kn;6;2503;0405
657;0730-1330;;KRE;PBS Pyongyang Pansong;K;FE;kn;6;2503;0405
657;1330-1830;;KRE;PBS Pyongyang Pansong;K;FE;kn;6;2503;0405
657;1830-2030;;KRE;PBS Pyongyang Pansong;K;FE;kn;6;2503;0405
657;2030-2100;;KRE;PBS Pyongyang Pansong;K;FE;kn;6;2503;0405
657;2130-0330;;KRE;PBS Pyongyang Pansong;K;FE;kn;6;2503;0405
657;0300-0700;;KRE;PBS Pyongyang Pansong;K;FE;kn;1;0505;
657;0700-1300;;KRE;PBS Pyongyang Pansong;K;FE;kn;1;0505;
657;1300-1800;;KRE;PBS Pyongyang Pansong;K;FE;kn;1;0505;
657;1800-2000;;KRE;PBS Pyongyang Pansong;K;FE;kn;1;0505;
657;2000-2030;;KRE;PBS Pyongyang Pansong;K;FE;kn;1;0505;
657;2100-0300;;KRE;PBS Pyongyang Pansong;K;FE;kn;1;0505;
684;0000-0100;;CHN;China Radio Int.;KH;SEA;d;1;;
684;1030-1130;;CHN;China Radio Int.;KH;SEA;d;1;;
684;1200-1300;;CHN;China Radio Int.;E;SEA;d;1;;
684;1300-1400;;CHN;China Radio Int.;VN;SEA;d;1;;
684;1400-1500;;CHN;China Radio Int.;KH;SEA;d;1;;
684;1500-1700;;CHN;China Radio Int.;VN;SEA;d;1;;
684;2300-2400;;CHN;China Radio Int.;KH;SEA;d;1;;
684;0030-0035;;IND;AIR Delhi;HI;SAs;pb;1;;
684;0035-0040;;IND;AIR Delhi;E;SAs;pb;1;;
684;0125-0130;;IND;AIR Delhi;SNK;SAs;pb;1;;
684;1230-1235;;IND;AIR Delhi;E;SAs;pb;1;;
684;1235-1240;;IND;AIR Delhi;HI;SAs;pb;1;;
684;1512-1530;;IND;AIR Delhi;HI;SAs;pb;1;;
684;1530-1545;;IND;AIR Delhi;E;SAs;pb;1;;
684;0315-0900;;IND;AIR Port Blair;HI;SAs;pb;1;;
684;1030-1700;;IND;AIR Port Blair;HI;SAs;pb;1;;
684;1700-1730;SaSu;IND;AIR Port Blair;HI;SAs;pb;1;;
684;2355-0300;;IND;AIR Port Blair;HI;SAs;pb;1;;
690;0000-2400;irr;B;Rádio Clube do Pará;P;B;be;1;;
693;1930-2000;;ALG;Radio Algiers Int.;S;NAf;r;1;;
693;2000-2030;;ALG;Radio Algiers Int.;A;NAf;r;1;;
693;2030-2100;;ALG;Radio Algiers Int.;F;NAf;r;1;;
693;2100-2130;;ALG;Radio Algiers Int.;A;NAf;r;1;;
693;2130-2200;;ALG;Radio Algiers Int.;E;NAf;r;1;;
693;2200-2230;;ALG;Radio Algiers Int.;S;NAf;r;1;;
693;2230-2300;;ALG;Radio Algiers Int.;A;NAf;r;1;;
702;0015-0430;;IND;All India Radio GOS;UR;PAK;j;1;;
702;0800-0830;;IND;All India Radio GOS;PJ;PAK;j;1;;
702;0830-1130;;IND;All India Radio GOS;UR;PAK;j;1;;
702;1130-1230;;IND;All India Radio GOS;PJ;PAK;j;1;;
702;1230-1300;;IND;All India Radio GOS;SIR;PAK;j;1;;
702;1300-1430;;IND;All India Radio GOS;PJ;PAK;j;1;;
702;1430-1600;;IND;All India Radio GOS;UR;PAK;j;1;;
702;1600-1930;;IND;All India Radio GOS;UR;PAK;j;1;;
702;0323-0920;;IRN;IRIB Voice of I.R.Iran;AZ;Cau;ki;1;;
702;1020-1650;;IRN;IRIB Voice of I.R.Iran;AZ;Cau;ki;1;;
702;1720-1820;;IRN;IRIB Voice of I.R.Iran;TAL;Cau;ki;1;;
702;1820-1920;;IRN;IRIB Voice of I.R.Iran;TU;ME;ki;1;;
702;1920-2020;;IRN;IRIB Voice of I.R.Iran;R;Cau;ki;1;;[1116]
702;0000-0030;Su;PHL;FEBC Manila;TAG;PHL;b;1;;
702;0000-0200;Mo-Sa;PHL;FEBC Manila;TAG;PHL;b;1;;
702;0030-0230;Su;PHL;FEBC Manila;E;PHL;b;1;;
702;0200-0330;Sa;PHL;FEBC Manila;E;PHL;b;1;;
702;0200-0430;Mo-Fr;PHL;FEBC Manila;TAG;PHL;b;1;;
702;0230-0430;Su;PHL;FEBC Manila;TAG;PHL;b;1;;
702;0330-0430;Sa;PHL;FEBC Manila;TAG;PHL;b;1;;
702;0430-0530;;PHL;FEBC Manila;AM;PHL;b;1;;
702;0530-0600;Sa;PHL;FEBC Manila;E;PHL;b;1;;
702;0530-0600;Su-Fr;PHL;FEBC Manila;TAG;PHL;b;1;;
702;0600-0700;Mo-Sa;PHL;FEBC Manila;E;PHL;b;1;;
702;0600-0700;Su;PHL;FEBC Manila;TAG;PHL;b;1;;
702;0700-0705;SaSu;PHL;FEBC Manila;TAG;PHL;b;1;;
702;0700-0720;Mo-Fr;PHL;FEBC Manila;TAG;PHL;b;1;;
702;0705-0830;Su;PHL;FEBC Manila;E;PHL;b;1;;
702;0705-0930;Sa;PHL;FEBC Manila;E;PHL;b;1;;
702;0720-0900;Mo-Fr;PHL;FEBC Manila;E;PHL;b;1;;
702;0830-1200;Su;PHL;FEBC Manila;TAG;PHL;b;1;;
702;0900-1030;Mo-Fr;PHL;FEBC Manila;TAG;PHL;b;1;;
702;0930-1030;Sa;PHL;FEBC Manila;TAG;PHL;b;1;;
702;1030-1100;Mo-Sa;PHL;FEBC Manila;E;PHL;b;1;;
702;1100-1130;Sa;PHL;FEBC Manila;E;PHL;b;1;;
702;1100-1130;Mo-Fr;PHL;FEBC Manila;TAG;PHL;b;1;;
702;1130-1200;Mo-Sa;PHL;FEBC Manila;E;PHL;b;1;;
702;1200-1300;Mo-Sa;PHL;FEBC Manila;TAG;PHL;b;1;;
702;1200-1330;Su;PHL;FEBC Manila;E;PHL;b;1;;
702;1300-1400;Mo;PHL;FEBC Manila;E;PHL;b;1;;
702;1300-1530;Sa;PHL;FEBC Manila;TAG;PHL;b;1;;
702;1300-1600;Tu-Fr;PHL;FEBC Manila;E;PHL;b;1;;
702;1330-1530;Su;PHL;FEBC Manila;TAG;PHL;b;1;;
702;1400-1600;Mo;PHL;FEBC Manila;TAG;PHL;b;1;;
702;1530-1600;SaSu;PHL;FEBC Manila;E;PHL;b;1;;
702;2045-2100;Su-Fr;PHL;FEBC Manila;TAG;PHL;b;1;;
702;2100-2400;;PHL;FEBC Manila;TAG;PHL;b;1;;
711;0730-0800;Mo,Fr;IND;FEBA India;BE;SAs;si;1;;
720;0015-0245;;IND;AIR Chennai;TAM;SAs;c;1;;
720;0300-0930;;IND;AIR Chennai;TAM;SAs;c;1;;
720;0930-1130;Su;IND;AIR Chennai;TAM;SAs;c;1;;
720;1200-1739;;IND;AIR Chennai;TAM;SAs;c;1;;
720;1739-1840;;IND;AIR Chennai;TAM;SAs;c;1;;
720;0035-0040;;IND;AIR Delhi;E;SAs;c;1;;
720;1230-1235;;IND;AIR Delhi;E;SAs;c;1;;
720;1330-1347;25Jan;IND;AIR Delhi;E;SAs;c;1;0101;2501
720;1347-1404;25Jan;IND;AIR Delhi;HI;SAs;c;1;0101;2501
720;1512-1530;;IND;AIR Delhi;HI;SAs;c;1;;
720;1530-1545;;IND;AIR Delhi;E;SAs;c;1;;
720;1730-1735;;IND;AIR Delhi;E;SAs;c;1;;
720;0050-0220;;IRN;IRIB Voice of I.R.Iran;TJ;CAs;t;1;;
720;0300-1500;;IRN;IRIB Voice of I.R.Iran;DR;AFG;t;1;;
720;1550-1720;;IRN;IRIB Voice of I.R.Iran;TJ;CAs;t;1;;
729;2155-1700;;VTN;Voice of Vietnam 2;VN;VTN;;1;;
738;0000-0030;Fr;CZE;Radio Prague;R;EEu;/RUS-m;1;;
738;0230-0300;Sa;CZE;Radio Prague;R;EEu;/RUS-m;1;;
738;0700-0730;Th;CZE;Radio Prague;R;EEu;/RUS-m;1;;
738;1000-1030;Fr;CZE;Radio Prague;R;EEu;/RUS-m;1;;
738;1300-1330;Th;CZE;Radio Prague;R;EEu;/RUS-m;1;;
738;1930-2000;We;CZE;Radio Prague;R;EEu;/RUS-m;1;;
738;2230-2300;We;CZE;Radio Prague;R;EEu;/RUS-m;1;;
738;0000-0030;Tu;E;Radio Exterior España;R;EEu;/RUS-m;1;;
738;0230-0300;We;E;Radio Exterior España;R;EEu;/RUS-m;1;;
738;0700-0730;Mo;E;Radio Exterior España;R;EEu;/RUS-m;1;;
738;1000-1030;Tu;E;Radio Exterior España;R;EEu;/RUS-m;1;;
738;1300-1330;Mo;E;Radio Exterior España;R;EEu;/RUS-m;1;;
738;1930-2000;Su;E;Radio Exterior España;R;EEu;/RUS-m;1;;
738;2230-2300;Su;E;Radio Exterior España;R;EEu;/RUS-m;1;;
738;0035-0040;;IND;AIR Delhi;E;SAs;hy;1;;
738;0125-0130;;IND;AIR Delhi;SNK;SAs;hy;1;;
738;0230-0245;;IND;AIR Delhi;HI;SAs;hy;1;;
738;0245-0300;;IND;AIR Delhi;E;SAs;hy;1;;
738;1230-1235;;IND;AIR Delhi;E;SAs;hy;1;;
738;1240-1245;;IND;AIR Delhi;SNK;SAs;hy;1;;
738;1512-1530;;IND;AIR Delhi;HI;SAs;hy;1;;
738;1530-1545;;IND;AIR Delhi;E;SAs;hy;1;;
738;1546-1600;;IND;AIR Delhi;E;SAs;hy;1;;
738;1730-1735;;IND;AIR Delhi;E;SAs;hy;1;;
738;1735-1740;;IND;AIR Delhi;HI;SAs;hy;1;;
738;0020-0215;;IND;AIR Hyderabad;TEL;SAs;hy;1;;
738;0220-0230;;IND;AIR Hyderabad;TEL;SAs;hy;1;;
738;0300-0445;;IND;AIR Hyderabad;TEL;SAs;hy;1;;
738;0445-0505;SaSu;IND;AIR Hyderabad;TEL;SAs;hy;1;;
738;0610-0930;;IND;AIR Hyderabad;TEL;SAs;hy;1;;
738;0930-1030;Su;IND;AIR Hyderabad;TEL;SAs;hy;1;;
738;1030-1130;Su;IND;AIR Hyderabad;TEL;SAs;hy;1;;
738;1130-1744;;IND;AIR Hyderabad;TEL;SAs;hy;1;;
738;1220-1230;;IND;AIR Hyderabad;UR;SAs;hy;1;;
738;1744-1900;31Dec;IND;AIR Hyderabad;TEL;SAs;hy;1;1512;3112
738;0030-0130;;IND;All India Radio GOS;R;EEu;/RUS-m;1;;
738;0900-1000;;IND;All India Radio GOS;R;EEu;/RUS-m;1;;
738;1830-1930;;IND;All India Radio GOS;R;EEu;/RUS-m;1;;
738;0330-0400;;J;NHK Radio Japan;R;EEu;/RUS-m;1;;
738;0530-0600;;J;NHK Radio Japan;R;EEu;/RUS-m;1;;
738;1100-1130;;J;NHK Radio Japan;R;EEu;/RUS-m;1;;
738;1600-1630;;J;NHK Radio Japan;R;EEu;/RUS-m;1;;
738;2200-2230;;J;NHK Radio Japan;R;EEu;/RUS-m;1;;
738;0500-0530;;KOR;KBS World Radio;R;EEu;/RUS-m;1;;
738;0800-0830;;KOR;KBS World Radio;R;EEu;/RUS-m;1;;
738;1030-1100;;KOR;KBS World Radio;R;EEu;/RUS-m;1;;
738;1330-1400;;KOR;KBS World Radio;R;EEu;/RUS-m;1;;
738;1530-1600;;KOR;KBS World Radio;R;EEu;/RUS-m;1;;
738;1730-1800;;KOR;KBS World Radio;R;EEu;/RUS-m;1;;
738;2000-2030;;KOR;KBS World Radio;R;EEu;/RUS-m;1;;
738;0130-0200;;POL;Polskie Radio;R;EEu;/RUS-m;1;;
738;1200-1230;;POL;Polskie Radio;R;EEu;/RUS-m;1;;
738;2100-2130;;POL;Polskie Radio;R;EEu;/RUS-m;1;;
738;0200-0230;Tu;RUS;Radiopanorama;R;EEu;m;1;;
738;0430-0500;Mo;RUS;Radiopanorama;R;EEu;m;1;;
738;0730-0800;Su;RUS;Radiopanorama;R;EEu;m;1;;
738;1230-1300;Sa;RUS;Radiopanorama;R;EEu;m;1;;
738;1500-1530;Su;RUS;Radiopanorama;R;EEu;m;1;;
738;1800-1830;Mo;RUS;Radiopanorama;R;EEu;m;1;;
738;2030-2100;Sa;RUS;Radiopanorama;R;EEu;m;1;;
738;2330-2400;Sa;RUS;Radiopanorama;R;EEu;m;1;;
738;0400-0430;;SVK;Radio Slovakia Int.;R;EEu;/RUS-m;1;;
738;0630-0700;;SVK;Radio Slovakia Int.;R;EEu;/RUS-m;1;;
738;0830-0900;;SVK;Radio Slovakia Int.;R;EEu;/RUS-m;1;;
738;1130-1200;;SVK;Radio Slovakia Int.;R;EEu;/RUS-m;1;;
738;1430-1500;;SVK;Radio Slovakia Int.;R;EEu;/RUS-m;1;;
738;1630-1700;;SVK;Radio Slovakia Int.;R;EEu;/RUS-m;1;;
738;2300-2330;;SVK;Radio Slovakia Int.;R;EEu;/RUS-m;1;;
738;0000-0030;Mo,Th;UN;United Nations Radio;R;EEu;/RUS-m;1;;
738;0230-0300;Tu,Fr;UN;United Nations Radio;R;EEu;/RUS-m;1;;
738;0700-0730;We,Su;UN;United Nations Radio;R;EEu;/RUS-m;1;;
738;1000-1030;Mo,Th;UN;United Nations Radio;R;EEu;/RUS-m;1;;
738;1300-1330;We,Su;UN;United Nations Radio;R;EEu;/RUS-m;1;;
738;1930-2000;Tu,Sa;UN;United Nations Radio;R;EEu;/RUS-m;1;;
738;2230-2300;Tu,Sa;UN;United Nations Radio;R;EEu;/RUS-m;1;;
747;1415-1430;Tu;IND;FEBA India;HI;SAs;lu;1;;
765;0130-0230;;IRN;IRIB Voice of I.R.Iran;UR;SAs;c;1;;
765;0230-1250;;IRN;IRIB Voice of I.R.Iran;A;SAs;c;1;;
